epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,17808.3,2.47805,2.07555,1.17,0.33138,0.4023,0.31475,0.09961,2.50777,1.83999,1.24671,6.9805e-05,6.9805e-05,6.9805e-05
63,18073.7,2.46117,2.085,1.17105,0.28782,0.455,0.33663,0.10744,2.39506,1.81252,1.22609,6.931e-05,6.931e-05,6.931e-05
64,18354,2.48489,2.06924,1.18475,0.29738,0.4274,0.30191,0.09466,2.43683,1.82848,1.24799,6.8815e-05,6.8815e-05,6.8815e-05
65,18614.8,2.47342,2.06548,1.17438,0.32489,0.40528,0.31448,0.0989,2.47907,1.83038,1.24536,6.832e-05,6.832e-05,6.832e-05
66,18896.8,2.45827,2.04319,1.18114,0.34792,0.42388,0.34535,0.11461,2.36544,1.80642,1.22179,6.7825e-05,6.7825e-05,6.7825e-05
67,19167.9,2.43755,2.02839,1.17992,0.30551,0.45045,0.32912,0.10491,2.40257,1.78404,1.22375,6.733e-05,6.733e-05,6.733e-05
68,19444.1,2.45787,2.03491,1.16892,0.31627,0.43366,0.34261,0.11005,2.40118,1.83155,1.22201,6.6835e-05,6.6835e-05,6.6835e-05
69,19733.5,2.43977,2.02892,1.16486,0.34571,0.44175,0.36012,0.12102,2.34044,1.77423,1.21263,6.634e-05,6.634e-05,6.634e-05
70,20026.3,2.42839,2.03284,1.17067,0.3727,0.43702,0.37914,0.12181,2.35157,1.79035,1.21702,6.5845e-05,6.5845e-05,6.5845e-05
71,20312.3,2.41133,2.02887,1.17006,0.34655,0.44664,0.35811,0.1188,2.35314,1.8035,1.21032,6.535e-05,6.535e-05,6.535e-05
72,20561.8,2.42785,2.01533,1.16442,0.33731,0.45873,0.37174,0.12215,2.34676,1.74908,1.20388,6.4855e-05,6.4855e-05,6.4855e-05
73,20788.9,2.4383,2.00365,1.16294,0.31702,0.43515,0.34713,0.11561,2.36006,1.83212,1.21136,6.436e-05,6.436e-05,6.436e-05
74,21060.4,2.42085,2.00367,1.16433,0.35595,0.44193,0.36602,0.11834,2.36705,1.76008,1.22552,6.3865e-05,6.3865e-05,6.3865e-05
75,21301.8,2.39498,1.99602,1.15696,0.34494,0.44409,0.35986,0.12054,2.3799,1.80555,1.21459,6.337e-05,6.337e-05,6.337e-05
